id,caption,alttext,description,baseimageurl
71047,,,,https://nrs.harvard.edu/urn-3:HUAM:INV035705P_dynmc
21698,verso,,,https://nrs.harvard.edu/urn-3:HUAM:72647_dynmc
78312,,,,https://nrs.harvard.edu/urn-3:HUAM:INV014676_dynmc
161108,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG131973p_dynmc
117585,,,,https://nrs.harvard.edu/urn-3:HUAM:INV031079_dynmc
36514,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP14045_dynmc
99881,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP14207_dynmc
160494,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG104507_dynmc
27367,,,,https://nrs.harvard.edu/urn-3:HUAM:VRS31749_dynmc
138195,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP02949_dynmc
56248,,,,https://nrs.harvard.edu/urn-3:HUAM:INV008929_dynmc
157136,,,,https://nrs.harvard.edu/urn-3:HUAM:INV031565_dynmc
157442,,,,https://nrs.harvard.edu/urn-3:HUAM:INV032639_dynmc
144082,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN12168_dlvr
10310,verso,,,https://nrs.harvard.edu/urn-3:HUAM:VRS36589_dynmc
151680,,"Weathered, pale blue translucent glass beaker with straight sides that narrow inward slightly to a rounded rim","The exterior of this translucent pale blue glass beaker is heavily weathered. It does not have a smooth surface, but instead shows many pits and etched marks and has patches of light-colored dirt accretions near the base. The beaker is slightly wider than it is tall. It has a squat, rounded shape that tapers slightly inward at the top. The rim is rounded and has a rolled smooth lip that does not show weathering. The color of the lip appears to be a slightly darker shade of blue.",https://nrs.harvard.edu/urn-3:HUAM:INV012791_dynmc
922,,,,https://nrs.harvard.edu/urn-3:HUAM:10580_dynmc
77673,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG1556_dynmc
101391,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN02356_dynmc
41923,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN08588_dlvr
121952,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG1585_dynmc
69820,,,,https://nrs.harvard.edu/urn-3:HUAM:INV033313N_dynmc
71554,,,,https://nrs.harvard.edu/urn-3:HUAM:INV036191P_dynmc
36167,detail of head on handle in profile,,,https://nrs.harvard.edu/urn-3:HUAM:77014_dynmc
103900,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN09071_dlvr
46472,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP06487_dynmc
137543,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP00286_dynmc
64240,,,,https://nrs.harvard.edu/urn-3:HUAM:INV022376_dynmc
34663,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP11034_dynmc
70552,,,,https://nrs.harvard.edu/urn-3:HUAM:INV000277_dynmc
104008,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN09509_dlvr
86838,recto,,,https://nrs.harvard.edu/urn-3:HUAM:77744_dynmc
54541,,,,https://nrs.harvard.edu/urn-3:HUAM:62396_dynmc
110508,,,,https://nrs.harvard.edu/urn-3:HUAM:INV007298_dynmc
94580,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG12142_dynmc
144372,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN13345_dlvr
52975,,,,https://nrs.harvard.edu/urn-3:HUAM:51874_dynmc
149815,,,,https://nrs.harvard.edu/urn-3:HUAM:INV006791_dynmc
36742,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN00054_dynmc
24156,,,,https://nrs.harvard.edu/urn-3:HUAM:VRS17516_dynmc
119827,,,,https://nrs.harvard.edu/urn-3:HUAM:INV038783N_dynmc
95602,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG130486_dynmc
146411,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN21490_dlvr
155161,,,,https://nrs.harvard.edu/urn-3:HUAM:INV024520_dynmc
98952,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG95479_dynmc
113590,,,,https://nrs.harvard.edu/urn-3:HUAM:INV017057_dynmc
62944,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN15394_dlvr
124369,,,,https://nrs.harvard.edu/urn-3:HUAM:OCP12573_dlvr
99103,,,,https://nrs.harvard.edu/urn-3:HUAM:MBTA10273N_dynmc
121728,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG132689p_dynmc
72950,,,,https://nrs.harvard.edu/urn-3:HUAM:INV038468_dynmc
40492,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN05800_dlvr
79376,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG4609_dynmc
40447,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN05596_dlvr
163097,,,,https://nrs.harvard.edu/urn-3:HUAM:MBTA10465N_dynmc
163724,,,,https://nrs.harvard.edu/urn-3:HUAM:OCP12341_dynmc
161091,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG131938_dynmc
98216,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG4748_dynmc
97017,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG2827_dynmc
152516,,,,https://nrs.harvard.edu/urn-3:HUAM:INV015344_dynmc
157082,,,,https://nrs.harvard.edu/urn-3:HUAM:INV031393P_dynmc
58497,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN05965_dlvr
80385,,,,https://nrs.harvard.edu/urn-3:HUAM:INV017470_dynmc
78871,,,,https://nrs.harvard.edu/urn-3:HUAM:INV015173P_dynmc
142485,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN05694_dlvr
142752,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN06789_dlvr
156120,,,,https://nrs.harvard.edu/urn-3:HUAM:INV027985_dynmc
157235,,,,https://nrs.harvard.edu/urn-3:HUAM:INV031901_dynmc
53387,,,,https://nrs.harvard.edu/urn-3:HUAM:INV003511_dynmc
58691,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN06813_dlvr
31995,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP05509_dynmc
47836,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP09079_dynmc
66663,,,,https://nrs.harvard.edu/urn-3:HUAM:INV026328_dynmc
112090,,,,https://nrs.harvard.edu/urn-3:HUAM:INV012318P_dynmc
77456,,,,https://nrs.harvard.edu/urn-3:HUAM:INV013193N_dynmc
85081,,,,https://nrs.harvard.edu/urn-3:HUAM:INV027005_dynmc
129495,side B,,,https://nrs.harvard.edu/urn-3:HUAM:VRS43551_dynmc
104353,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN10916_dlvr
16703,,,,https://nrs.harvard.edu/urn-3:HUAM:50951_dynmc
128875,,,,https://nrs.harvard.edu/urn-3:HUAM:VRS40774_dynmc
130236,,,,https://nrs.harvard.edu/urn-3:HUAM:46847_dynmc
24587,,,,https://nrs.harvard.edu/urn-3:HUAM:78711_dynmc
148362,,,,https://nrs.harvard.edu/urn-3:HUAM:INV000785_dynmc
20792,,,,https://nrs.harvard.edu/urn-3:HUAM:VRS54439_dynmc
144702,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN14607_dlvr
38761,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN01753_dynmc
29956,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP01749_dynmc
106663,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN20128_dlvr
103610,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN07906_dlvr
157525,,,,https://nrs.harvard.edu/urn-3:HUAM:INV032949_dynmc
35312,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP12121_dynmc
104390,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN11051_dlvr
103346,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN06857_dlvr
161429,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG179347_dynmc
56256,,,,https://nrs.harvard.edu/urn-3:HUAM:INV008949P_dynmc
22979,"Chapter 5: A is painting on left, B is calligraphy on right",,,https://nrs.harvard.edu/urn-3:HUAM:75027_dynmc
127678,,,,https://nrs.harvard.edu/urn-3:HUAM:VRS35124_dynmc
